ResponseId,task,task_id,condition,task_part,rating,score,numeracy
R_3koK1RIot4aX4TE,Gambling,2,rating,rating_1,2,1,low
R_3koK1RIot4aX4TE,Gambling,2,rating,rating_2,2,1,low
R_0DtEcsGzUrrLd3X,Gambling,1,noloss,choice,11,3,high
R_0DtEcsGzUrrLd3X,Gambling,1,rating,rating_1,2,3,high
R_0DtEcsGzUrrLd3X,Gambling,1,rating,rating_2,2,3,high
R_3fQ5RYjTaxCirja,Gambling,2,loss,choice,3,2,low
R_3fQ5RYjTaxCirja,Gambling,2,rating,rating_1,4,2,low
R_3fQ5RYjTaxCirja,Gambling,2,rating,rating_2,1,2,low
R_3JmgUdhPzrhGGmI,Gambling,2,loss,choice,3,2,low
R_3JmgUdhPzrhGGmI,Gambling,2,rating,rating_1,1,2,low
R_3JmgUdhPzrhGGmI,Gambling,2,rating,rating_2,1,2,low
R_3suXgV84r51JmCF,Gambling,2,loss,choice,13,2,low
R_3suXgV84r51JmCF,Gambling,2,rating,rating_1,1,2,low
R_3suXgV84r51JmCF,Gambling,2,rating,rating_2,1,2,low
R_2WGCksvHPLDPNVn,Gambling,1,noloss,choice,9,1,low
R_2WGCksvHPLDPNVn,Gambling,1,rating,rating_1,2,1,low
R_2WGCksvHPLDPNVn,Gambling,1,rating,rating_2,2,1,low
R_OJ7ZZdoicRWvuRH,Gambling,1,noloss,choice,5,0,low
R_OJ7ZZdoicRWvuRH,Gambling,1,rating,rating_1,3,0,low
R_OJ7ZZdoicRWvuRH,Gambling,1,rating,rating_2,2,0,low
R_upMwdhckhh47AjL,Gambling,1,noloss,choice,12,4,high
R_upMwdhckhh47AjL,Gambling,1,rating,rating_1,3,4,high
R_upMwdhckhh47AjL,Gambling,1,rating,rating_2,2,4,high
R_1CvEIztkQtuNfzf,Gambling,2,loss,choice,4,0,low
R_1CvEIztkQtuNfzf,Gambling,2,rating,rating_1,1,0,low
R_1CvEIztkQtuNfzf,Gambling,2,rating,rating_2,1,0,low
R_3jdmwimZNKsnm8l,Gambling,1,noloss,choice,13,4,high
R_3jdmwimZNKsnm8l,Gambling,1,rating,rating_1,4,4,high
R_3jdmwimZNKsnm8l,Gambling,1,rating,rating_2,4,4,high
R_UaOQE289jZ75QMF,Gambling,2,loss,choice,18,3,high
R_UaOQE289jZ75QMF,Gambling,2,rating,rating_1,5,3,high
R_UaOQE289jZ75QMF,Gambling,2,rating,rating_2,4,3,high
R_1msiC85PggLlZdf,Gambling,2,loss,choice,5,1,low
R_1msiC85PggLlZdf,Gambling,2,rating,rating_1,4,1,low
R_3JIZoJd8X4Nxpcj,Gambling,2,loss,choice,3,0,low
R_3JIZoJd8X4Nxpcj,Gambling,2,rating,rating_1,2,0,low
R_3JIZoJd8X4Nxpcj,Gambling,2,rating,rating_2,1,0,low
R_30320JK2QMYIZAv,Gambling,2,loss,choice,20,3,high
R_30320JK2QMYIZAv,Gambling,2,rating,rating_1,6,3,high
R_30320JK2QMYIZAv,Gambling,2,rating,rating_2,6,3,high
R_1Lw0IVcDlbEx6cG,Gambling,1,noloss,choice,14,1,low
R_1Lw0IVcDlbEx6cG,Gambling,1,rating,rating_1,3,1,low
R_1Lw0IVcDlbEx6cG,Gambling,1,rating,rating_2,2,1,low
R_W20UTK2cN7KY2FH,Gambling,1,noloss,choice,8,3,high
R_W20UTK2cN7KY2FH,Gambling,1,rating,rating_1,2,3,high
R_W20UTK2cN7KY2FH,Gambling,1,rating,rating_2,2,3,high
R_5gyItU24qhigSzL,Gambling,1,noloss,choice,13,1,low
R_5gyItU24qhigSzL,Gambling,1,rating,rating_1,3,1,low
R_5gyItU24qhigSzL,Gambling,1,rating,rating_2,1,1,low
R_1prEcEVrORXGLO6,Gambling,2,loss,choice,5,3,high
R_1prEcEVrORXGLO6,Gambling,2,rating,rating_1,4,3,high
R_3s4GNlLml7USXiL,Gambling,1,noloss,choice,0,1,low
R_3s4GNlLml7USXiL,Gambling,1,rating,rating_1,0,1,low
R_3s4GNlLml7USXiL,Gambling,1,rating,rating_2,4,1,low
R_272yApsIipSrlM5,Gambling,2,loss,choice,14,1,low
R_272yApsIipSrlM5,Gambling,2,rating,rating_1,1,1,low
R_272yApsIipSrlM5,Gambling,2,rating,rating_2,1,1,low
R_2BwBAsuTOumRWhJ,Gambling,2,loss,choice,15,3,high
R_2BwBAsuTOumRWhJ,Gambling,2,rating,rating_1,5,3,high
R_2BwBAsuTOumRWhJ,Gambling,2,rating,rating_2,4,3,high
R_3syJFTQEZBD1zkX,Gambling,1,noloss,choice,4,2,low
R_3syJFTQEZBD1zkX,Gambling,1,rating,rating_1,4,2,low
R_3syJFTQEZBD1zkX,Gambling,1,rating,rating_2,2,2,low
R_1o5wSU53POJzuNc,Gambling,2,loss,choice,12,1,low
R_1o5wSU53POJzuNc,Gambling,2,rating,rating_1,4,1,low
R_1o5wSU53POJzuNc,Gambling,2,rating,rating_2,2,1,low
R_AMP5wz7W9tvbb8J,Gambling,1,noloss,choice,9,0,low
R_AMP5wz7W9tvbb8J,Gambling,1,rating,rating_1,3,0,low
R_AMP5wz7W9tvbb8J,Gambling,1,rating,rating_2,2,0,low
R_VVlP0gI8WpjecG5,Gambling,1,noloss,choice,7,3,high
R_VVlP0gI8WpjecG5,Gambling,1,rating,rating_1,3,3,high
R_VVlP0gI8WpjecG5,Gambling,1,rating,rating_2,2,3,high
R_xxUxQ2pOoc6pR6x,Gambling,2,loss,choice,19,4,high
R_xxUxQ2pOoc6pR6x,Gambling,2,rating,rating_1,5,4,high
R_xxUxQ2pOoc6pR6x,Gambling,2,rating,rating_2,2,4,high
R_1ONNtGS7EkU4d1n,Gambling,1,noloss,choice,7,2,low
R_1ONNtGS7EkU4d1n,Gambling,1,rating,rating_1,4,2,low
R_1ONNtGS7EkU4d1n,Gambling,1,rating,rating_2,2,2,low
R_1eVsaqCWaRNhl57,Gambling,2,loss,choice,11,0,low
R_1eVsaqCWaRNhl57,Gambling,2,rating,rating_1,1,0,low
R_1eVsaqCWaRNhl57,Gambling,2,rating,rating_2,2,0,low
R_240k77AIsalEivC,Gambling,2,loss,choice,15,2,low
R_240k77AIsalEivC,Gambling,2,rating,rating_1,4,2,low
R_3il46RmZ2c9jufc,Gambling,1,noloss,choice,14,4,high
R_3il46RmZ2c9jufc,Gambling,1,rating,rating_1,1,4,high
R_3il46RmZ2c9jufc,Gambling,1,rating,rating_2,1,4,high
R_1n2Eyu6c38yWX7y,Gambling,2,loss,choice,0,0,low
R_1n2Eyu6c38yWX7y,Gambling,2,rating,rating_1,6,0,low
R_1n2Eyu6c38yWX7y,Gambling,2,rating,rating_2,2,0,low
R_12a1UWIyxeJMcwo,Gambling,2,loss,choice,8,1,low
R_12a1UWIyxeJMcwo,Gambling,2,rating,rating_1,1,1,low
R_12a1UWIyxeJMcwo,Gambling,2,rating,rating_2,1,1,low
R_3pmPa5LajFgsvgf,Gambling,2,loss,choice,18,4,high
R_3pmPa5LajFgsvgf,Gambling,2,rating,rating_1,5,4,high
R_3pmPa5LajFgsvgf,Gambling,2,rating,rating_2,5,4,high
R_28CzMBTA1n4r15F,Gambling,2,loss,choice,14,1,low
R_28CzMBTA1n4r15F,Gambling,2,rating,rating_1,4,1,low
R_28CzMBTA1n4r15F,Gambling,2,rating,rating_2,4,1,low
R_2qwSqiwUo4rFP4k,Gambling,2,loss,choice,6,0,low
R_2qwSqiwUo4rFP4k,Gambling,2,rating,rating_1,1,0,low
R_2qwSqiwUo4rFP4k,Gambling,2,rating,rating_2,2,0,low
R_w5eOmX7Imhf7vsB,Gambling,1,noloss,choice,20,4,high
R_w5eOmX7Imhf7vsB,Gambling,1,rating,rating_1,4,4,high
R_w5eOmX7Imhf7vsB,Gambling,1,rating,rating_2,5,4,high
R_3hz1J3bypV55Chc,Gambling,2,loss,choice,6,0,low
R_3hz1J3bypV55Chc,Gambling,2,rating,rating_1,3,0,low
R_3hz1J3bypV55Chc,Gambling,2,rating,rating_2,3,0,low
R_1ityMaV4qGRVYqv,Gambling,1,noloss,choice,10,2,low
R_1ityMaV4qGRVYqv,Gambling,1,rating,rating_1,3,2,low
R_1ityMaV4qGRVYqv,Gambling,1,rating,rating_2,4,2,low
R_29c8m8VDFtGMUYw,Gambling,2,loss,choice,20,2,low
R_29c8m8VDFtGMUYw,Gambling,2,rating,rating_1,1,2,low
R_29c8m8VDFtGMUYw,Gambling,2,rating,rating_2,1,2,low
R_RxybzcsvFVQGSpb,Gambling,1,noloss,choice,4,1,low
R_RxybzcsvFVQGSpb,Gambling,1,rating,rating_1,0,1,low
R_RxybzcsvFVQGSpb,Gambling,1,rating,rating_2,2,1,low
R_UQlxH6BsxfKYhIR,Gambling,1,noloss,choice,7,1,low
R_UQlxH6BsxfKYhIR,Gambling,1,rating,rating_1,2,1,low
R_UQlxH6BsxfKYhIR,Gambling,1,rating,rating_2,2,1,low
R_3g4MmFnf1lBBEDQ,Gambling,2,loss,choice,16,3,high
R_3g4MmFnf1lBBEDQ,Gambling,2,rating,rating_1,6,3,high
R_3g4MmFnf1lBBEDQ,Gambling,2,rating,rating_2,1,3,high
R_1cT9BCTuZPtvDEL,Gambling,1,noloss,choice,15,1,low
R_1cT9BCTuZPtvDEL,Gambling,1,rating,rating_1,4,1,low
R_1cT9BCTuZPtvDEL,Gambling,1,rating,rating_2,4,1,low
R_1pGbGZ5RiuAIyqC,Gambling,2,loss,choice,10,1,low
R_1pGbGZ5RiuAIyqC,Gambling,2,rating,rating_1,3,1,low
R_1pGbGZ5RiuAIyqC,Gambling,2,rating,rating_2,5,1,low
R_3HLHGIFViLN7Utr,Gambling,1,noloss,choice,4,2,low
R_3HLHGIFViLN7Utr,Gambling,1,rating,rating_1,5,2,low
R_3HLHGIFViLN7Utr,Gambling,1,rating,rating_2,1,2,low
R_3flRafkLfBSUel8,Gambling,1,noloss,choice,7,3,high
R_3flRafkLfBSUel8,Gambling,1,rating,rating_1,2,3,high
R_3flRafkLfBSUel8,Gambling,1,rating,rating_2,2,3,high
R_3oNqQs9hP7zye8V,Gambling,1,noloss,choice,16,4,high
R_3oNqQs9hP7zye8V,Gambling,1,rating,rating_1,3,4,high
R_3oNqQs9hP7zye8V,Gambling,1,rating,rating_2,3,4,high
R_AMN0PuR51f2Pl3b,Gambling,2,loss,choice,3,3,high
R_AMN0PuR51f2Pl3b,Gambling,2,rating,rating_1,4,3,high
R_AMN0PuR51f2Pl3b,Gambling,2,rating,rating_2,3,3,high
R_27DLxVE5yX9ecPP,Gambling,2,loss,choice,18,2,low
R_27DLxVE5yX9ecPP,Gambling,2,rating,rating_1,2,2,low
R_27DLxVE5yX9ecPP,Gambling,2,rating,rating_2,2,2,low
R_3I9VspbgFHBj05z,Gambling,1,noloss,choice,2,4,high
R_3I9VspbgFHBj05z,Gambling,1,rating,rating_1,4,4,high
R_3I9VspbgFHBj05z,Gambling,1,rating,rating_2,2,4,high
R_2tasFVgVEpNAGGn,Gambling,1,noloss,choice,2,0,low
R_2tasFVgVEpNAGGn,Gambling,1,rating,rating_1,1,0,low
R_2tasFVgVEpNAGGn,Gambling,1,rating,rating_2,1,0,low
R_2njW5WixKBeqjAd,Gambling,2,loss,choice,12,1,low
R_2njW5WixKBeqjAd,Gambling,2,rating,rating_1,2,1,low
R_2njW5WixKBeqjAd,Gambling,2,rating,rating_2,4,1,low
R_1GuYesOqZTy79gg,Gambling,1,noloss,choice,8,1,low
R_1GuYesOqZTy79gg,Gambling,1,rating,rating_1,4,1,low
R_1GuYesOqZTy79gg,Gambling,1,rating,rating_2,4,1,low
R_3iwq2SLDSwz70IU,Gambling,2,loss,choice,7,1,low
R_3iwq2SLDSwz70IU,Gambling,2,rating,rating_1,1,1,low
R_3iwq2SLDSwz70IU,Gambling,2,rating,rating_2,2,1,low
R_1QxyhWyvIJpJVdx,Gambling,2,loss,choice,13,2,low
R_1QxyhWyvIJpJVdx,Gambling,2,rating,rating_1,3,2,low
R_1QxyhWyvIJpJVdx,Gambling,2,rating,rating_2,3,2,low
R_rkKaNJFAgeDUd5D,Gambling,1,noloss,choice,17,2,low
R_rkKaNJFAgeDUd5D,Gambling,1,rating,rating_1,4,2,low
R_rkKaNJFAgeDUd5D,Gambling,1,rating,rating_2,4,2,low
R_1d0ryhAR50ZezuG,Gambling,1,noloss,choice,16,1,low
R_1d0ryhAR50ZezuG,Gambling,1,rating,rating_1,5,1,low
R_1d0ryhAR50ZezuG,Gambling,1,rating,rating_2,5,1,low
R_1gSkEgcOqMzuHGv,Gambling,2,loss,choice,16,1,low
R_1gSkEgcOqMzuHGv,Gambling,2,rating,rating_1,4,1,low
R_1gSkEgcOqMzuHGv,Gambling,2,rating,rating_2,5,1,low
R_yINrGhlhNRMBrpf,Gambling,2,loss,choice,13,1,low
R_yINrGhlhNRMBrpf,Gambling,2,rating,rating_1,4,1,low
R_yINrGhlhNRMBrpf,Gambling,2,rating,rating_2,2,1,low
R_DCbFeFEFYoMx5cd,Gambling,1,noloss,choice,13,1,low
R_DCbFeFEFYoMx5cd,Gambling,1,rating,rating_1,4,1,low
R_DCbFeFEFYoMx5cd,Gambling,1,rating,rating_2,4,1,low
R_1PUIsB2NgFBGV9I,Gambling,1,noloss,choice,2,1,low
R_1PUIsB2NgFBGV9I,Gambling,1,rating,rating_1,0,1,low
R_1PUIsB2NgFBGV9I,Gambling,1,rating,rating_2,0,1,low
R_2RWhv9w4rWHKbCI,Gambling,2,loss,choice,20,3,high
R_2RWhv9w4rWHKbCI,Gambling,2,rating,rating_1,5,3,high
R_WcT2fMkdUYhobJv,Gambling,2,loss,choice,15,4,high
R_WcT2fMkdUYhobJv,Gambling,2,rating,rating_1,4,4,high
R_WcT2fMkdUYhobJv,Gambling,2,rating,rating_2,4,4,high
R_1rvmOn7RdMcZQUH,Gambling,1,noloss,choice,8,4,high
R_1rvmOn7RdMcZQUH,Gambling,1,rating,rating_1,2,4,high
R_1rvmOn7RdMcZQUH,Gambling,1,rating,rating_2,2,4,high
R_xsZZnblXpyv0jEl,Gambling,1,noloss,choice,15,3,high
R_xsZZnblXpyv0jEl,Gambling,1,rating,rating_1,4,3,high
R_xsZZnblXpyv0jEl,Gambling,1,rating,rating_2,4,3,high
R_esAy693FE1ZcNZD,Gambling,2,loss,choice,20,4,high
R_esAy693FE1ZcNZD,Gambling,2,rating,rating_1,5,4,high
R_esAy693FE1ZcNZD,Gambling,2,rating,rating_2,5,4,high
R_3m2hamu5pSAzhRH,Gambling,1,noloss,choice,18,4,high
R_3m2hamu5pSAzhRH,Gambling,1,rating,rating_1,5,4,high
R_3m2hamu5pSAzhRH,Gambling,1,rating,rating_2,5,4,high
R_1jQ8VCVtsKXRxiw,Gambling,2,loss,choice,20,3,high
R_1jQ8VCVtsKXRxiw,Gambling,2,rating,rating_1,6,3,high
R_1jQ8VCVtsKXRxiw,Gambling,2,rating,rating_2,5,3,high
R_1HjBExUIDs9WEdP,Gambling,1,noloss,choice,12,3,high
R_1HjBExUIDs9WEdP,Gambling,1,rating,rating_1,4,3,high
R_1HjBExUIDs9WEdP,Gambling,1,rating,rating_2,2,3,high
R_24IpPVNeeu8TDzO,Gambling,2,loss,choice,6,0,low
R_24IpPVNeeu8TDzO,Gambling,2,rating,rating_1,5,0,low
R_24IpPVNeeu8TDzO,Gambling,2,rating,rating_2,2,0,low
R_2trG4X33oIM9rKc,Gambling,1,noloss,choice,9,1,low
R_2trG4X33oIM9rKc,Gambling,1,rating,rating_1,5,1,low
R_2trG4X33oIM9rKc,Gambling,1,rating,rating_2,4,1,low
R_2nPd5UP0formABX,Gambling,1,noloss,choice,10,2,low
R_2nPd5UP0formABX,Gambling,1,rating,rating_1,2,2,low
R_2nPd5UP0formABX,Gambling,1,rating,rating_2,5,2,low
R_2cbINKNuT1bH75H,Gambling,1,noloss,choice,12,1,low
R_2cbINKNuT1bH75H,Gambling,1,rating,rating_1,4,1,low
R_2cbINKNuT1bH75H,Gambling,1,rating,rating_2,4,1,low
R_1li6qLYX157qOXD,Gambling,2,loss,choice,13,2,low
R_1li6qLYX157qOXD,Gambling,2,rating,rating_1,5,2,low
R_1li6qLYX157qOXD,Gambling,2,rating,rating_2,4,2,low
R_1GNvaDM7rJGJ731,Gambling,2,loss,choice,7,3,high
R_1GNvaDM7rJGJ731,Gambling,2,rating,rating_1,4,3,high
R_1GNvaDM7rJGJ731,Gambling,2,rating,rating_2,2,3,high
R_2ASdWcdjbdgWptH,Gambling,2,loss,choice,12,1,low
R_2ASdWcdjbdgWptH,Gambling,2,rating,rating_1,2,1,low
R_2ASdWcdjbdgWptH,Gambling,2,rating,rating_2,2,1,low
R_5pSPa593z6UA6Hv,Gambling,2,loss,choice,16,1,low
R_5pSPa593z6UA6Hv,Gambling,2,rating,rating_1,2,1,low
R_5pSPa593z6UA6Hv,Gambling,2,rating,rating_2,2,1,low
R_Ztaca7JfkcdzA0V,Gambling,1,noloss,choice,5,1,low
R_Ztaca7JfkcdzA0V,Gambling,1,rating,rating_1,1,1,low
R_Ztaca7JfkcdzA0V,Gambling,1,rating,rating_2,3,1,low
R_3r3dAOcrcJQ4lsf,Gambling,2,loss,choice,3,3,high
R_3r3dAOcrcJQ4lsf,Gambling,2,rating,rating_1,3,3,high
R_3r3dAOcrcJQ4lsf,Gambling,2,rating,rating_2,1,3,high
R_2DS1osxWqGJ8NT3,Gambling,1,noloss,choice,0,0,low
R_2DS1osxWqGJ8NT3,Gambling,1,rating,rating_1,4,0,low
R_2DS1osxWqGJ8NT3,Gambling,1,rating,rating_2,3,0,low
R_PuJQbmsNLUfccuZ,Gambling,2,loss,choice,16,1,low
R_PuJQbmsNLUfccuZ,Gambling,2,rating,rating_1,2,1,low
R_PuJQbmsNLUfccuZ,Gambling,2,rating,rating_2,2,1,low
R_3JJInfqd39ZYoro,Gambling,1,noloss,choice,20,3,high
R_3JJInfqd39ZYoro,Gambling,1,rating,rating_1,6,3,high
R_3JJInfqd39ZYoro,Gambling,1,rating,rating_2,4,3,high
