ResponseId,score,numeracy
R_u81jrkdqnstc7Ml,1,low
R_UaOQE289jZ75QMF,3,high
R_UFo6gmOK5PGNlKh,0,low
R_upMwdhckhh47AjL,4,high
R_UQlxH6BsxfKYhIR,1,low
R_USYbDmkd8GqR2Cd,4,high
R_VOOnpjZOOAgtlNT,3,high
R_vqKm08Ft0NhMUvL,2,low
R_VVcMyz9CF4qZF1D,0,low
R_VVlP0gI8WpjecG5,3,high
R_w1b6cH4VqubXzZn,2,low
R_W20UTK2cN7KY2FH,3,high
R_w5eOmX7Imhf7vsB,4,high
R_WcT2fMkdUYhobJv,4,high
R_xsZZnblXpyv0jEl,3,high
R_xxUxQ2pOoc6pR6x,4,high
R_Y5JCeBldkZ4zOMh,1,low
R_yINrGhlhNRMBrpf,1,low
R_ykLfAgkTFkNHNUR,1,low
R_Ztaca7JfkcdzA0V,1,low
