ResponseId,mode,task_id,rating,score,numeracy
R_1RJEHxQMlyhVAaZ,affect,1,-1,2,low
R_3Dp9XK2N6ffL1RZ,preference,1,4,1,low
R_3Dp9XK2N6ffL1RZ,precision,1,2,1,low
R_3Dp9XK2N6ffL1RZ,affect,1,-1,1,low
R_306nRJ7zd8j0zih,preference,1,5,0,low
R_306nRJ7zd8j0zih,precision,1,1,0,low
R_306nRJ7zd8j0zih,affect,1,-2,0,low
R_26losLkkgxgZHvS,preference,1,6,3,high
R_26losLkkgxgZHvS,precision,1,6,3,high
R_26losLkkgxgZHvS,affect,1,-1,3,high
R_2YP2DlHQ51MOhac,preference,1,1,0,low
R_2YP2DlHQ51MOhac,precision,1,2,0,low
R_2YP2DlHQ51MOhac,affect,1,0,0,low
R_3koK1RIot4aX4TE,preference,1,-6,1,low
R_3koK1RIot4aX4TE,precision,1,3,1,low
R_3koK1RIot4aX4TE,affect,1,2,1,low
R_0DtEcsGzUrrLd3X,preference,1,5,3,high
R_0DtEcsGzUrrLd3X,precision,1,4,3,high
R_0DtEcsGzUrrLd3X,affect,1,-1,3,high
R_3fQ5RYjTaxCirja,preference,1,4,2,low
R_3fQ5RYjTaxCirja,precision,1,2,2,low
R_3fQ5RYjTaxCirja,affect,1,-1,2,low
R_3JmgUdhPzrhGGmI,preference,1,4,2,low
R_3JmgUdhPzrhGGmI,precision,1,2,2,low
R_3JmgUdhPzrhGGmI,affect,1,0,2,low
R_3suXgV84r51JmCF,preference,1,1,2,low
R_3suXgV84r51JmCF,precision,1,2,2,low
R_3suXgV84r51JmCF,affect,1,-1,2,low
R_2WGCksvHPLDPNVn,preference,1,-6,1,low
R_2WGCksvHPLDPNVn,precision,1,6,1,low
R_2WGCksvHPLDPNVn,affect,1,1,1,low
R_OJ7ZZdoicRWvuRH,preference,1,0,0,low
R_OJ7ZZdoicRWvuRH,precision,1,3,0,low
R_OJ7ZZdoicRWvuRH,affect,1,-1,0,low
R_upMwdhckhh47AjL,preference,1,6,4,high
R_upMwdhckhh47AjL,precision,1,6,4,high
R_upMwdhckhh47AjL,affect,1,-1,4,high
R_1CvEIztkQtuNfzf,preference,1,6,0,low
R_1CvEIztkQtuNfzf,precision,1,4,0,low
R_1CvEIztkQtuNfzf,affect,1,0,0,low
R_3jdmwimZNKsnm8l,preference,1,5,4,high
R_3jdmwimZNKsnm8l,precision,1,3,4,high
R_3jdmwimZNKsnm8l,affect,1,-1,4,high
R_UaOQE289jZ75QMF,preference,1,-1,3,high
R_UaOQE289jZ75QMF,precision,1,3,3,high
R_UaOQE289jZ75QMF,affect,1,1,3,high
R_1msiC85PggLlZdf,preference,1,5,1,low
R_1msiC85PggLlZdf,precision,1,5,1,low
R_1msiC85PggLlZdf,affect,1,-2,1,low
R_3JIZoJd8X4Nxpcj,preference,1,-5,0,low
R_3JIZoJd8X4Nxpcj,precision,1,4,0,low
R_3JIZoJd8X4Nxpcj,affect,1,-1,0,low
R_30320JK2QMYIZAv,preference,1,6,3,high
R_30320JK2QMYIZAv,precision,1,3,3,high
R_30320JK2QMYIZAv,affect,1,-2,3,high
R_1Lw0IVcDlbEx6cG,preference,1,6,1,low
R_1Lw0IVcDlbEx6cG,precision,1,5,1,low
R_1Lw0IVcDlbEx6cG,affect,1,0,1,low
R_W20UTK2cN7KY2FH,preference,1,2,3,high
R_W20UTK2cN7KY2FH,precision,1,2,3,high
R_W20UTK2cN7KY2FH,affect,1,-1,3,high
R_5gyItU24qhigSzL,preference,1,-4,1,low
R_5gyItU24qhigSzL,precision,1,5,1,low
R_5gyItU24qhigSzL,affect,1,0,1,low
R_1prEcEVrORXGLO6,preference,1,6,3,high
R_1prEcEVrORXGLO6,precision,1,3,3,high
R_1prEcEVrORXGLO6,affect,1,-1,3,high
R_3s4GNlLml7USXiL,preference,1,2,1,low
R_3s4GNlLml7USXiL,precision,1,4,1,low
R_3s4GNlLml7USXiL,affect,1,1,1,low
R_272yApsIipSrlM5,preference,1,1,1,low
R_272yApsIipSrlM5,precision,1,4,1,low
R_272yApsIipSrlM5,affect,1,-2,1,low
R_2BwBAsuTOumRWhJ,preference,1,4,3,high
R_2BwBAsuTOumRWhJ,precision,1,2,3,high
R_2BwBAsuTOumRWhJ,affect,1,-1,3,high
R_3syJFTQEZBD1zkX,preference,1,5,2,low
R_3syJFTQEZBD1zkX,precision,1,1,2,low
R_3syJFTQEZBD1zkX,affect,1,-1,2,low
R_1o5wSU53POJzuNc,preference,1,6,1,low
R_1o5wSU53POJzuNc,precision,1,2,1,low
R_1o5wSU53POJzuNc,affect,1,1,1,low
R_AMP5wz7W9tvbb8J,preference,1,4,0,low
R_AMP5wz7W9tvbb8J,precision,1,3,0,low
R_AMP5wz7W9tvbb8J,affect,1,0,0,low
R_VVlP0gI8WpjecG5,preference,1,5,3,high
R_VVlP0gI8WpjecG5,precision,1,2,3,high
R_VVlP0gI8WpjecG5,affect,1,-2,3,high
R_xxUxQ2pOoc6pR6x,preference,1,2,4,high
R_xxUxQ2pOoc6pR6x,precision,1,6,4,high
R_xxUxQ2pOoc6pR6x,affect,1,-2,4,high
R_1ONNtGS7EkU4d1n,preference,1,0,2,low
R_1ONNtGS7EkU4d1n,precision,1,3,2,low
R_1ONNtGS7EkU4d1n,affect,1,-1,2,low
R_1eVsaqCWaRNhl57,preference,1,2,0,low
R_1eVsaqCWaRNhl57,precision,1,1,0,low
R_1eVsaqCWaRNhl57,affect,1,1,0,low
R_240k77AIsalEivC,preference,1,-2,2,low
R_240k77AIsalEivC,precision,1,4,2,low
R_240k77AIsalEivC,affect,1,1,2,low
R_3il46RmZ2c9jufc,preference,1,6,4,high
R_3il46RmZ2c9jufc,precision,1,4,4,high
R_3il46RmZ2c9jufc,affect,1,-1,4,high
R_1n2Eyu6c38yWX7y,preference,1,6,0,low
R_1n2Eyu6c38yWX7y,precision,1,6,0,low
R_1n2Eyu6c38yWX7y,affect,1,2,0,low
R_12a1UWIyxeJMcwo,preference,1,6,1,low
R_12a1UWIyxeJMcwo,precision,1,6,1,low
R_12a1UWIyxeJMcwo,affect,1,-2,1,low
R_3pmPa5LajFgsvgf,preference,1,4,4,high
R_3pmPa5LajFgsvgf,precision,1,4,4,high
R_3pmPa5LajFgsvgf,affect,1,-2,4,high
R_28CzMBTA1n4r15F,preference,1,2,1,low
R_28CzMBTA1n4r15F,precision,1,2,1,low
R_28CzMBTA1n4r15F,affect,1,-1,1,low
R_2qwSqiwUo4rFP4k,preference,1,6,0,low
R_2qwSqiwUo4rFP4k,precision,1,2,0,low
R_2qwSqiwUo4rFP4k,affect,1,-1,0,low
R_w5eOmX7Imhf7vsB,preference,1,6,4,high
R_w5eOmX7Imhf7vsB,precision,1,6,4,high
R_w5eOmX7Imhf7vsB,affect,1,-3,4,high
R_3hz1J3bypV55Chc,preference,1,-5,0,low
R_3hz1J3bypV55Chc,precision,1,2,0,low
R_3hz1J3bypV55Chc,affect,1,2,0,low
R_1ityMaV4qGRVYqv,preference,1,-4,2,low
R_1ityMaV4qGRVYqv,precision,1,5,2,low
R_1ityMaV4qGRVYqv,affect,1,1,2,low
R_29c8m8VDFtGMUYw,preference,1,-6,2,low
R_29c8m8VDFtGMUYw,precision,1,6,2,low
R_29c8m8VDFtGMUYw,affect,1,-1,2,low
R_RxybzcsvFVQGSpb,preference,1,6,1,low
R_RxybzcsvFVQGSpb,precision,1,0,1,low
R_RxybzcsvFVQGSpb,affect,1,-2,1,low
R_UQlxH6BsxfKYhIR,preference,1,6,1,low
R_UQlxH6BsxfKYhIR,precision,1,6,1,low
R_UQlxH6BsxfKYhIR,affect,1,-1,1,low
R_3g4MmFnf1lBBEDQ,preference,1,1,3,high
R_3g4MmFnf1lBBEDQ,precision,1,6,3,high
R_3g4MmFnf1lBBEDQ,affect,1,2,3,high
R_1cT9BCTuZPtvDEL,preference,1,4,1,low
R_1cT9BCTuZPtvDEL,precision,1,5,1,low
R_1cT9BCTuZPtvDEL,affect,1,-1,1,low
R_1pGbGZ5RiuAIyqC,preference,1,5,1,low
R_1pGbGZ5RiuAIyqC,precision,1,1,1,low
R_1pGbGZ5RiuAIyqC,affect,1,1,1,low
R_3HLHGIFViLN7Utr,preference,1,2,2,low
R_3HLHGIFViLN7Utr,precision,1,4,2,low
R_3HLHGIFViLN7Utr,affect,1,-2,2,low
R_3flRafkLfBSUel8,preference,1,2,3,high
R_3flRafkLfBSUel8,precision,1,3,3,high
R_3flRafkLfBSUel8,affect,1,0,3,high
R_3oNqQs9hP7zye8V,preference,1,6,4,high
R_3oNqQs9hP7zye8V,precision,1,5,4,high
R_3oNqQs9hP7zye8V,affect,1,-1,4,high
R_AMN0PuR51f2Pl3b,preference,1,6,3,high
R_AMN0PuR51f2Pl3b,precision,1,4,3,high
R_AMN0PuR51f2Pl3b,affect,1,1,3,high
R_27DLxVE5yX9ecPP,preference,1,6,2,low
R_27DLxVE5yX9ecPP,precision,1,5,2,low
R_27DLxVE5yX9ecPP,affect,1,2,2,low
R_3I9VspbgFHBj05z,preference,1,6,4,high
R_3I9VspbgFHBj05z,precision,1,6,4,high
R_3I9VspbgFHBj05z,affect,1,-1,4,high
R_2tasFVgVEpNAGGn,preference,1,-2,0,low
R_2tasFVgVEpNAGGn,precision,1,0,0,low
R_2tasFVgVEpNAGGn,affect,1,-3,0,low
R_2njW5WixKBeqjAd,preference,1,-2,1,low
R_2njW5WixKBeqjAd,precision,1,1,1,low
R_2njW5WixKBeqjAd,affect,1,2,1,low
R_1GuYesOqZTy79gg,preference,1,2,1,low
R_1GuYesOqZTy79gg,precision,1,2,1,low
R_1GuYesOqZTy79gg,affect,1,-2,1,low
R_3iwq2SLDSwz70IU,preference,1,-2,1,low
R_3iwq2SLDSwz70IU,precision,1,4,1,low
R_3iwq2SLDSwz70IU,affect,1,1,1,low
R_1QxyhWyvIJpJVdx,preference,1,1,2,low
R_1QxyhWyvIJpJVdx,precision,1,5,2,low
R_1QxyhWyvIJpJVdx,affect,1,-1,2,low
R_rkKaNJFAgeDUd5D,preference,1,6,2,low
R_rkKaNJFAgeDUd5D,precision,1,6,2,low
R_rkKaNJFAgeDUd5D,affect,1,-3,2,low
R_1d0ryhAR50ZezuG,preference,1,6,1,low
R_1d0ryhAR50ZezuG,precision,1,4,1,low
R_1d0ryhAR50ZezuG,affect,1,-1,1,low
R_1gSkEgcOqMzuHGv,preference,1,6,1,low
R_1gSkEgcOqMzuHGv,precision,1,3,1,low
R_1gSkEgcOqMzuHGv,affect,1,1,1,low
R_yINrGhlhNRMBrpf,preference,1,-1,1,low
R_yINrGhlhNRMBrpf,precision,1,2,1,low
R_yINrGhlhNRMBrpf,affect,1,-1,1,low
R_DCbFeFEFYoMx5cd,preference,1,6,1,low
R_DCbFeFEFYoMx5cd,precision,1,6,1,low
R_DCbFeFEFYoMx5cd,affect,1,-1,1,low
R_1PUIsB2NgFBGV9I,preference,1,6,1,low
R_1PUIsB2NgFBGV9I,precision,1,2,1,low
R_1PUIsB2NgFBGV9I,affect,1,0,1,low
R_2RWhv9w4rWHKbCI,preference,1,6,3,high
R_2RWhv9w4rWHKbCI,precision,1,3,3,high
R_2RWhv9w4rWHKbCI,affect,1,0,3,high
R_WcT2fMkdUYhobJv,preference,1,-4,4,high
R_WcT2fMkdUYhobJv,precision,1,4,4,high
R_WcT2fMkdUYhobJv,affect,1,-2,4,high
R_1rvmOn7RdMcZQUH,preference,1,2,4,high
R_1rvmOn7RdMcZQUH,precision,1,4,4,high
R_1rvmOn7RdMcZQUH,affect,1,1,4,high
R_xsZZnblXpyv0jEl,preference,1,6,3,high
R_xsZZnblXpyv0jEl,precision,1,6,3,high
R_xsZZnblXpyv0jEl,affect,1,-3,3,high
R_esAy693FE1ZcNZD,preference,1,4,4,high
R_esAy693FE1ZcNZD,precision,1,2,4,high
R_esAy693FE1ZcNZD,affect,1,-1,4,high
R_3m2hamu5pSAzhRH,preference,1,6,4,high
R_3m2hamu5pSAzhRH,precision,1,4,4,high
R_3m2hamu5pSAzhRH,affect,1,1,4,high
R_1jQ8VCVtsKXRxiw,preference,1,6,3,high
R_1jQ8VCVtsKXRxiw,precision,1,6,3,high
R_1jQ8VCVtsKXRxiw,affect,1,-3,3,high
R_1HjBExUIDs9WEdP,preference,1,-1,3,high
R_1HjBExUIDs9WEdP,precision,1,2,3,high
R_1HjBExUIDs9WEdP,affect,1,-1,3,high
R_24IpPVNeeu8TDzO,preference,1,-4,0,low
R_24IpPVNeeu8TDzO,precision,1,4,0,low
R_24IpPVNeeu8TDzO,affect,1,2,0,low
R_2trG4X33oIM9rKc,preference,1,6,1,low
R_2trG4X33oIM9rKc,precision,1,5,1,low
R_2trG4X33oIM9rKc,affect,1,-1,1,low
R_2nPd5UP0formABX,preference,1,5,2,low
R_2nPd5UP0formABX,precision,1,5,2,low
R_2nPd5UP0formABX,affect,1,-2,2,low
R_2cbINKNuT1bH75H,preference,1,6,1,low
R_2cbINKNuT1bH75H,precision,1,5,1,low
R_2cbINKNuT1bH75H,affect,1,-1,1,low
R_1li6qLYX157qOXD,preference,1,5,2,low
R_1li6qLYX157qOXD,precision,1,4,2,low
R_1li6qLYX157qOXD,affect,1,1,2,low
R_1GNvaDM7rJGJ731,preference,1,4,3,high
R_1GNvaDM7rJGJ731,precision,1,3,3,high
R_1GNvaDM7rJGJ731,affect,1,-1,3,high
R_2ASdWcdjbdgWptH,preference,1,1,1,low
R_2ASdWcdjbdgWptH,precision,1,2,1,low
R_2ASdWcdjbdgWptH,affect,1,-1,1,low
R_5pSPa593z6UA6Hv,preference,1,1,1,low
R_5pSPa593z6UA6Hv,precision,1,1,1,low
R_5pSPa593z6UA6Hv,affect,1,-2,1,low
R_Ztaca7JfkcdzA0V,preference,1,-1,1,low
R_Ztaca7JfkcdzA0V,precision,1,6,1,low
R_Ztaca7JfkcdzA0V,affect,1,-1,1,low
R_3r3dAOcrcJQ4lsf,preference,1,4,3,high
R_3r3dAOcrcJQ4lsf,precision,1,5,3,high
R_3r3dAOcrcJQ4lsf,affect,1,-2,3,high
R_2DS1osxWqGJ8NT3,preference,1,-5,0,low
R_2DS1osxWqGJ8NT3,precision,1,3,0,low
R_2DS1osxWqGJ8NT3,affect,1,3,0,low
R_PuJQbmsNLUfccuZ,preference,1,4,1,low
R_PuJQbmsNLUfccuZ,precision,1,3,1,low
R_PuJQbmsNLUfccuZ,affect,1,-2,1,low
R_3JJInfqd39ZYoro,preference,1,6,3,high
R_3JJInfqd39ZYoro,precision,1,5,3,high
R_3JJInfqd39ZYoro,affect,1,-2,3,high
R_1HjJwgxy3omfzkD,preference,1,6,4,high
R_1HjJwgxy3omfzkD,precision,1,6,4,high
R_1HjJwgxy3omfzkD,affect,1,-1,4,high
R_bQ9uHHD0MPEhoiJ,preference,1,2,1,low
R_bQ9uHHD0MPEhoiJ,precision,1,3,1,low
R_bQ9uHHD0MPEhoiJ,affect,1,-2,1,low
R_3rVapahHpOCGzkT,preference,1,6,4,high
R_3rVapahHpOCGzkT,precision,1,6,4,high
R_3rVapahHpOCGzkT,affect,1,1,4,high
R_b742FYxkYr7xMIh,preference,1,5,2,low
R_b742FYxkYr7xMIh,precision,1,5,2,low
R_b742FYxkYr7xMIh,affect,1,-2,2,low
R_r0baIcUvxPZJaHD,preference,1,4,2,low
R_r0baIcUvxPZJaHD,precision,1,5,2,low
R_r0baIcUvxPZJaHD,affect,1,-2,2,low
R_VOOnpjZOOAgtlNT,preference,1,4,3,high
R_VOOnpjZOOAgtlNT,precision,1,2,3,high
R_VOOnpjZOOAgtlNT,affect,1,-1,3,high
R_ykLfAgkTFkNHNUR,preference,1,6,1,low
R_ykLfAgkTFkNHNUR,precision,1,6,1,low
R_ykLfAgkTFkNHNUR,affect,1,-3,1,low
R_2zSnBY4Nd8tAEgG,preference,1,4,1,low
R_2zSnBY4Nd8tAEgG,precision,1,2,1,low
R_2zSnBY4Nd8tAEgG,affect,1,-2,1,low
R_1Cf4vATi3WCKN9A,preference,1,1,4,high
R_1Cf4vATi3WCKN9A,precision,1,2,4,high
R_1Cf4vATi3WCKN9A,affect,1,-1,4,high
R_1pnyx1eTTO0QObM,preference,1,4,2,low
R_1pnyx1eTTO0QObM,precision,1,2,2,low
R_1pnyx1eTTO0QObM,affect,1,0,2,low
R_1jGRVV37DXQM1uq,preference,1,6,0,low
R_1jGRVV37DXQM1uq,precision,1,4,0,low
R_1jGRVV37DXQM1uq,affect,1,-1,0,low
R_qyKuOAnEc2DQICd,preference,1,-2,1,low
R_qyKuOAnEc2DQICd,precision,1,3,1,low
R_qyKuOAnEc2DQICd,affect,1,1,1,low
R_tRic7wLvRQQESCR,preference,1,6,4,high
R_tRic7wLvRQQESCR,precision,1,2,4,high
R_tRic7wLvRQQESCR,affect,1,-2,4,high
R_2Wu6aB6GRsWChzZ,preference,1,5,4,high
R_2Wu6aB6GRsWChzZ,precision,1,5,4,high
R_2Wu6aB6GRsWChzZ,affect,1,-2,4,high
R_3hucL5l41aenOnJ,preference,1,6,1,low
R_3hucL5l41aenOnJ,precision,1,4,1,low
R_3hucL5l41aenOnJ,affect,1,1,1,low
R_2VBV1kFPKUiuGtA,preference,1,-2,1,low
R_2VBV1kFPKUiuGtA,precision,1,4,1,low
R_2VBV1kFPKUiuGtA,affect,1,0,1,low
R_3qmtpoD35NFwlo8,preference,1,2,0,low
R_3qmtpoD35NFwlo8,precision,1,1,0,low
R_3qmtpoD35NFwlo8,affect,1,-1,0,low
R_D334PkkKsvZ02qZ,preference,1,2,3,high
R_D334PkkKsvZ02qZ,precision,1,4,3,high
R_D334PkkKsvZ02qZ,affect,1,1,3,high
R_2fHcgRy3rOzzK9R,preference,1,5,0,low
R_2fHcgRy3rOzzK9R,precision,1,1,0,low
R_2fHcgRy3rOzzK9R,affect,1,-2,0,low
R_w1b6cH4VqubXzZn,preference,1,-5,2,low
R_w1b6cH4VqubXzZn,precision,1,3,2,low
R_w1b6cH4VqubXzZn,affect,1,0,2,low
R_1GxYB4Nu5YSrSVR,preference,1,6,1,low
R_1GxYB4Nu5YSrSVR,precision,1,5,1,low
R_1GxYB4Nu5YSrSVR,affect,1,-2,1,low
R_3iRaR2zPOPJzoZN,preference,1,6,3,high
R_3iRaR2zPOPJzoZN,precision,1,6,3,high
R_3iRaR2zPOPJzoZN,affect,1,-2,3,high
R_2DS8Tfi9E9h7xoi,preference,1,6,2,low
R_2DS8Tfi9E9h7xoi,precision,1,6,2,low
R_2DS8Tfi9E9h7xoi,affect,1,0,2,low
R_2TtkG9Kh4OjDijp,preference,1,6,1,low
R_2TtkG9Kh4OjDijp,precision,1,6,1,low
R_2TtkG9Kh4OjDijp,affect,1,-3,1,low
R_1mUYQLYqVNez4gp,preference,1,6,3,high
R_1mUYQLYqVNez4gp,precision,1,6,3,high
R_1mUYQLYqVNez4gp,affect,1,-1,3,high
R_u81jrkdqnstc7Ml,preference,1,6,1,low
R_u81jrkdqnstc7Ml,precision,1,4,1,low
R_u81jrkdqnstc7Ml,affect,1,-2,1,low
R_2SHxcdV6TS27Ss6,preference,1,6,2,low
R_2SHxcdV6TS27Ss6,precision,1,3,2,low
R_2SHxcdV6TS27Ss6,affect,1,0,2,low
R_OfMzjnaUOMuVrmF,preference,1,-6,3,high
R_OfMzjnaUOMuVrmF,precision,1,4,3,high
R_OfMzjnaUOMuVrmF,affect,1,-1,3,high
R_qJkkMYsFxZAszD3,preference,1,5,4,high
R_qJkkMYsFxZAszD3,precision,1,2,4,high
R_qJkkMYsFxZAszD3,affect,1,1,4,high
R_2mdeQIHQFYyLNuh,preference,1,-2,4,high
R_2mdeQIHQFYyLNuh,precision,1,2,4,high
R_2mdeQIHQFYyLNuh,affect,1,0,4,high
R_12GC6S5wYff365T,preference,1,5,4,high
R_12GC6S5wYff365T,precision,1,2,4,high
R_12GC6S5wYff365T,affect,1,0,4,high
R_3D8DfLEr89UBhA3,preference,1,5,1,low
R_3D8DfLEr89UBhA3,precision,1,5,1,low
R_3D8DfLEr89UBhA3,affect,1,-1,1,low
R_SB0TQPXpSZDl7hv,preference,1,6,0,low
R_SB0TQPXpSZDl7hv,precision,1,5,0,low
R_SB0TQPXpSZDl7hv,affect,1,-1,0,low
R_RrCS7SiKwdfNia5,preference,1,6,3,high
R_RrCS7SiKwdfNia5,precision,1,1,3,high
R_RrCS7SiKwdfNia5,affect,1,-2,3,high
R_1K8gZQZFsFPD0qs,preference,1,2,0,low
R_1K8gZQZFsFPD0qs,precision,1,3,0,low
R_1K8gZQZFsFPD0qs,affect,1,1,0,low
R_UFo6gmOK5PGNlKh,preference,1,2,0,low
R_UFo6gmOK5PGNlKh,precision,1,4,0,low
R_UFo6gmOK5PGNlKh,affect,1,0,0,low
R_3fclnkNpV8iZChG,preference,1,-4,0,low
R_3fclnkNpV8iZChG,precision,1,4,0,low
R_3fclnkNpV8iZChG,affect,1,2,0,low
R_3HncGEgWQYg3oCD,preference,1,6,0,low
R_3HncGEgWQYg3oCD,precision,1,4,0,low
R_3HncGEgWQYg3oCD,affect,1,-1,0,low
R_2AL65P790WkFJKa,preference,1,6,4,high
R_2AL65P790WkFJKa,precision,1,6,4,high
